stress_x,stress_y
628,-53.99
628.5,-53.99
629,-53.99
629.5,-53.99
630,-53.99
630.5,-53.99
631,-53.99
631.5,-53.99
632,-53.99
632.5,-53.99
633,-53.99
633.5,-53.99
634,-53.99
634.5,-53.99
635,-53.99
635.5,-53.99
636,-53.99
636.5,-53.99
637,-53.99
637.5,-53.99
638,-53.99
638.5,-53.99
639,-53.99
639.5,-53.99
640,-53.99
640.5,-53.99
641,-53.99
641.5,-53.99
642,-53.99
642.5,-53.99
643,-54
643.5,-54
644,-54
644.5,-54
645,-54
645.5,-54
646,-54
646.5,-54
647,-54
647.5,-54
648,-54
648.5,-54
649,-54
649.5,-54
650,-54
650.5,-54
651,-54
651.5,-54
652,-54
652.5,-54
653,-54
653.5,-54
654,-54
654.5,-54
655,-54
655.5,-54
656,-54
656.5,-54
657,-54
657.5,-54
658,-54
658.5,-54
659,-54
659.5,-54
660,-54
660.5,-54
661,-54
661.5,-54
662,-54
662.5,-54
663,-54
663.5,-54
664,-54
664.5,-54
665,-54
665.5,-54
666,-54
666.5,-54
667,-54
667.5,-54
668,-54
668.5,-54
669,-54
669.5,-54
670,-54
670.5,-54
671,-54
671.5,-54
672,-54
672.5,-54
673,-54
673.5,-54
674,-54
674.5,-54
675,-54
675.5,-54
676,-54
676.5,-54
677,-54
677.5,-54
678,-54
678.5,-54
679,-54
679.5,-54
680,-54
680.5,-54
681,-54
681.5,-54
682,-54
682.5,-54
683,-54
683.5,-54
684,-54
684.5,-54
685,-54
685.5,-54
686,-54
686.5,-54.01
687,-54.01
687.5,-54.01
688,-54.01
688.5,-54.01
689,-54.01
689.5,-54.01
690,-54.01
690.5,-54.01
691,-54.01
691.5,-54.01
692,-54.01
692.5,-54.01
693,-54.01
693.5,-54.01
694,-54.01
694.5,-54.01
695,-54.01
695.5,-54.01
696,-54.01
696.5,-54.01
697,-54.01
697.5,-54.01
698,-54.01
698.5,-54.01
699,-54.01
699.5,-54.01
700,-54.01
700.5,-54.01
701,-54.01
701.5,-54.01
702,-54.01
702.5,-54.01
703,-54.01
703.5,-54.01
704,-54.01
704.5,-54.01
705,-54.01
705.5,-54.01
706,-54.01
706.5,-54.01
707,-54.01
707.5,-54.01
708,-54.01
708.5,-54.01
709,-54.01
709.5,-54.01
710,-54.01
710.5,-54.01
711,-54.01
711.5,-54.01
712,-54.01
712.5,-54.01
713,-54.01
713.5,-54.01
714,-54.01
714.5,-54.01
715,-54.01
715.5,-54.01
716,-54.01
716.5,-54.01
717,-54.01
717.5,-54.01
718,-54.01
718.5,-54.01
719,-54.01
719.5,-54.01
720,-54.01
720.5,-54.01
721,-54.01
721.5,-54.01
722,-54.01
722.5,-54.01
723,-54.01
723.5,-54.01
724,-54.01
724.5,-54.01
725,-54.01
725.5,-54.01
726,-54.01
726.5,-54.01
727,-54.01
727.5,-54.01
728,-54.01
728.5,-54.01
729,-54.01
729.5,-54.01
730,-54.01
730.5,-54.01
731,-54.01
731.5,-54.01
732,-54.01
732.5,-54.01
733,-54.01
733.5,-54.01
734,-54.01
734.5,-54.01
735,-54.01
735.5,-54.01
736,-54.01
736.5,-54.01
737,-54.01
737.5,-54.01
738,-54.01
738.5,-54.01
739,-54.01
739.5,-54.01
740,-54.01
740.5,-54.01
741,-54.01
741.5,-54.01
742,-54.01
742.5,-54.01
743,-54.01
743.5,-54.01
744,-54.01
744.5,-54.01
745,-54.01
745.5,-54.01
746,-54.01
746.5,-54.01
747,-54.01
747.5,-54.01
748,-54.01
748.5,-54.01
749,-54.01
749.5,-54.01
750,-54.01
